npi1,npi2,paircount,benecount,samedaycount
1821271677,1053363119,65,27,0
1821271677,1063422145,21,11,0
1821271677,1093835829,617,152,0
1821271677,1134475296,22,11,0
1821271677,1144225798,68,16,0
1821271677,1154334381,68,11,0
1821271677,1174502603,27,14,0
1821271677,1336185081,169,63,0
1821271677,1366427809,56,16,0
1821271677,1386661270,185,65,0
1821271677,1396946794,68,24,0
1821271677,1396966040,197,59,0
1821271677,1437364122,29,11,0
1821271677,1447275318,89,24,0
1821271677,1457585390,34,12,0
1821271677,1487712360,92,24,0
1821271677,1497809669,106,11,0
1821271677,1508836834,356,105,0
1821271677,1528062429,1161,191,0
1821271677,1568774008,65,16,0
1821271677,1578662391,554,146,0
1821271677,1588855803,94,27,0
1821271677,1588980445,188,31,0
1821271677,1598757312,152,26,0
1821271677,1609865948,21,13,0
1821271677,1619979184,52,22,0
1821271677,1629171608,90,11,0
1821271677,1669477790,85,15,0
1821271677,1669660056,151,34,0
1821271677,1679576367,104,45,0
1821271677,1699047076,32,12,0
1821271677,1700984614,160,52,0
1821271677,1710991229,98,15,0
1821271677,1770707002,98,40,0
1821271677,1770723967,54,17,0
1821271677,1811010630,45,15,0
1821271677,1821034869,186,45,0
1821271677,1871754473,77,23,6
1821271677,1881701407,370,134,101
1821271677,1891701736,37,11,2
1821271677,1891856100,114,28,57
1821271677,1912995671,194,58,46
1821271677,1922036060,200,37,32
1821271677,1932145976,523,107,44
1821271677,1932374014,43,12,1
1821271677,1982631743,145,45,63
1821327560,1295829745,130,38,0
1831115955,1053363119,87,40,0
1831115955,1235570979,28,16,0
1831115955,1780622423,104,35,0
1831115955,1801813498,43,19,0
1831115955,1982667101,54,12,22
1831128875,1417975061,65,46,0
1831136456,1053363119,138,37,0
1831136456,1306190004,36,17,0
1831136456,1417975061,73,14,0
1831136456,1477527489,52,22,0
1831136456,1528006020,40,12,0
1831136456,1669475166,65,12,0
1831136456,1952348047,118,32,40
1831162130,1093835829,40,19,0
1831162130,1528062429,103,47,0
1831162130,1770707002,22,12,0
1831162825,1013905660,129,29,0
1831162825,1508887019,89,13,0
1831177187,1033184536,45,20,0
1831177187,1053491019,143,29,0
1831177187,1083819460,21,14,0
1831177187,1114029931,57,16,0
1831177187,1154373769,16,11,0
1831177187,1154460194,62,22,0
1831177187,1164537544,31,19,0
1831177187,1174598684,54,18,0
1831177187,1184665663,868,260,0
1831177187,1194980680,40,15,0
1831177187,1245239524,83,26,0
1831177187,1255302717,103,26,0
1831177187,1306010962,47,37,0
1831177187,1346228517,103,17,0
1831177187,1356307458,15,11,0
1831177187,1366641060,24,15,0
1831177187,1447227152,121,37,0
1831177187,1447247929,31,13,0
1831177187,1457328197,39,14,0
1831177187,1457552903,71,24,0
1831177187,1477553139,58,24,0
1831177187,1508802059,16,12,0
1831177187,1508970971,34,22,0
1831177187,1558337741,47,18,0
1831177187,1609841006,20,11,0
1831177187,1669587036,36,14,0
1831177187,1700991163,44,32,0
1831177187,1710048079,41,16,0
1831177187,1740395110,46,20,0
1831177187,1770850570,41,16,0
1831177187,1790842805,58,15,0
1831177187,1841267580,55,15,2
1831177187,1841305208,26,21,1
1831177187,1861826075,16,13,0
1831177187,1881646495,21,11,6
1831177187,1881673853,99,21,1
1831177187,1891761201,111,27,7
1831177187,1902904022,37,13,3
1831177187,1952383226,18,13,0
1831177187,1962524355,26,12,0
1831209451,1437368891,59,20,0
1831270842,1033144639,36,21,0
1831270842,1093924458,58,21,0
1831270842,1124055546,38,11,0
1831270842,1205876448,283,49,0
1831270842,1225012628,182,32,0
1831270842,1235228859,24,14,0
1831270842,1245271998,23,11,0
1831270842,1295802452,35,16,0
1831270842,1336124155,482,70,0
1831270842,1346265659,97,13,0
1831270842,1386677284,30,18,0
1831270842,1407831217,456,77,0
1831270842,1427099043,180,41,0
1831270842,1437368891,431,102,0
1831270842,1508803867,26,12,0
1831270842,1558301796,95,13,0
1831270842,1558570648,32,15,0
1831270842,1639464050,264,46,0
1831270842,1689905952,252,37,0
1831270842,1689921512,101,23,0
1831270842,1730393430,130,14,0
1831270842,1760465181,123,19,0
1831270842,1770520389,40,13,0
1831270842,1790865996,265,51,0
1831270842,1841441086,93,34,42
1831270842,1861436040,91,15,21
1831270842,1871754473,21,14,9
1831270842,1912182635,304,52,132
1831270842,1912228115,190,40,94
1831270842,1952326647,26,11,0
1831270842,1952388449,518,76,187
1831270842,1962485276,487,73,227
1831270842,1962688309,107,48,54
1831270842,1972529220,42,11,20
1831270842,1992091151,226,52,117
1831270842,1992867238,54,30,35
1831271477,1013233758,65,11,0
1831271477,1013353408,37,11,0
1831271477,1023069622,122,48,0
1831271477,1053363119,1808,152,0
1831271477,1053418004,101,32,0
1831271477,1083867592,52,13,0
1831271477,1124025507,64,18,0
1831271477,1134379159,121,38,0
1831271477,1154370781,204,91,0
1831271477,1164532172,83,41,0
1831271477,1174512305,40,14,0
1831271477,1235579004,71,11,0
1831271477,1245226182,129,57,0
1831271477,1265457022,37,19,0
1831271477,1275558637,35,13,0
1831271477,1275633091,80,13,0
1831271477,1275869117,139,41,0
1831271477,1285797753,19,12,0
1831271477,1316965692,70,20,0
1831271477,1326010232,145,11,0
1831271477,1336246396,37,15,0
1831271477,1356578306,42,17,0
1831271477,1376766253,135,48,0
1831271477,1396731238,172,64,0
1831271477,1407819543,23,13,0
1831271477,1427074129,65,14,0
1831271477,1427272970,57,13,0
1831271477,1437177714,57,28,0
1831271477,1447283767,194,22,0
1831271477,1447418132,85,17,0
1831271477,1487609236,22,11,0
1831271477,1497775662,18,12,0
1831271477,1518979426,87,28,0
1831271477,1528006020,49,19,0
1831271477,1528034733,123,13,0
1831271477,1548287121,64,30,0
1831271477,1558319434,35,12,0
1831271477,1568428555,36,12,0
1831271477,1588633150,23,11,0
1831271477,1588650428,91,41,0
1831271477,1588689368,62,19,0
1831271477,1598713554,60,13,0
1831271477,1598862476,89,11,0
1831271477,1639376924,163,60,0
1831271477,1649215419,138,46,0
1831271477,1649298928,69,22,0
1831271477,1649325127,120,38,0
1831271477,1669475166,47,17,0
1831271477,1710033311,26,15,0
1831271477,1760400790,19,11,0
1831271477,1760773436,45,16,0
1831271477,1780622423,75,20,0
1831271477,1811983539,171,68,0
1831271477,1851334346,121,12,6
1831271477,1851387781,173,72,41
1831271477,1861709073,27,12,2
1831271477,1871649558,40,36,29
1831271477,1871754473,185,69,32
1831271477,1871896894,69,18,6
1831271477,1891704409,54,23,20
1831271477,1891782074,226,77,41
1831271477,1902824287,85,38,24
1831271477,1912911017,126,43,24
1831271477,1912922329,68,27,23
1831271477,1942428354,130,28,1
1831271477,1952348047,47,22,10
1831271477,1952398166,39,12,6
1831271477,1952528499,29,11,1
1831271477,1962580480,30,15,9
1831271477,1982667101,37,12,7
1831271477,1982686754,27,16,8
1831271477,1992712442,94,12,9
1831272863,1184665663,162,25,0
1831285519,1932184298,54,17,3
1831287895,1053363119,19,12,0
1831296995,1508836834,27,13,0
1831296995,1922036060,48,16,33
1831431063,1053320531,155,13,0
1831431063,1073728168,689,28,0
1831431063,1134257876,62,11,0
1831431063,1174865976,39,11,0
1831431063,1215913801,343,33,0
1831431063,1437368891,193,15,0
1831431063,1720062524,79,16,0
1831433713,1891849261,89,16,3
1831446707,1225101041,297,82,0
1831446707,1295707826,21,12,0
1831446707,1437368891,26,15,0
1831446707,1598737397,18,14,0
1831497494,1184665663,60,12,0
1831497494,1700984275,128,18,0
1831523745,1053363119,33,16,0
1831523745,1326012337,26,14,0
1831523745,1477527489,15,13,0
1831523745,1952348047,60,29,33
1841205226,1417975061,28,12,0
1841208956,1063567691,55,26,0
1841209368,1003838384,25,19,0
1841209368,1013938729,227,54,0
1841209368,1013966795,25,11,0
1841209368,1023076007,87,26,0
1841209368,1023146149,61,22,0
1841209368,1033248786,25,16,0
1841209368,1053336354,30,12,0
1841209368,1053363119,343,135,0
1841209368,1053446252,34,16,0
1841209368,1073577326,78,12,0
1841209368,1083635742,65,23,0
1841209368,1093746596,67,21,0
1841209368,1104251990,273,93,0
1841209368,1104885268,92,29,0
1841209368,1114151073,40,16,0
1841209368,1124081211,27,13,0
1841209368,1124153242,52,20,0
1841209368,1134160120,74,27,0
1841209368,1144295809,38,14,0
1841209368,1154312221,380,85,0
1841209368,1154370781,75,27,0
1841209368,1164479374,173,35,0
1841209368,1174511919,186,84,0
1841209368,1184725210,32,15,0
1841209368,1205033990,122,32,0
1841209368,1205801586,134,44,0
1841209368,1215090527,123,18,0
1841209368,1215908207,64,20,0
1841209368,1225248669,140,26,0
1841209368,1235121807,93,20,0
1841209368,1245226182,128,26,0
1841209368,1245274133,52,16,0
1841209368,1245278183,66,23,0
1841209368,1255333738,45,11,0
1841209368,1255446696,48,23,0
1841209368,1255478863,34,16,0
1841209368,1265457022,72,21,0
1841209368,1275558637,21,12,0
1841209368,1275718769,85,44,0
1841209368,1295878429,45,12,0
1841209368,1306974191,102,35,0
1841209368,1316953409,158,44,0
1841209368,1316965692,28,16,0
1841209368,1346238474,93,23,0
1841209368,1366443871,78,25,0
1841209368,1366731218,33,12,0
1841209368,1376526749,126,30,0
1841209368,1376678490,62,26,0
1841209368,1376766253,52,24,0
1841209368,1376793588,70,26,0
1841209368,1386669174,47,24,0
1841209368,1396731238,42,22,0
1841209368,1396895272,33,16,0
1841209368,1407019334,83,40,0
1841209368,1417975061,2287,494,0
1841209368,1437165297,40,15,0
1841209368,1437177714,39,17,0
1841209368,1437368891,38,13,0
1841209368,1437382678,69,22,0
1841209368,1467478164,134,15,0
1841209368,1477653228,303,110,0
1841209368,1497085807,39,18,0
1841209368,1518201284,31,11,0
1841209368,1528006020,35,13,0
1841209368,1528083334,179,29,0
1841209368,1538169321,211,55,0
